Method,Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
nlml_vecchia_fullMF,MinMax,40,392.236658861354,-4.82046169847081,274.688200826562,0.187659456095361,0.65565736645636,0.0189704221424145,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,MinMax,60,391.375915190345,-10.2245478022373,278.370799588311,0.130221003540833,0.269624376824293,0.00581827983056274,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,Corr,10,399.306095410981,6.81869227279174,277.187919954554,0.285038213376103,1.48708331305311,0.0100428511964544,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,Corr,20,392.80955241827,-6.24822591871543,277.261752160639,0.196701333239822,0.553667116884544,0.00977916466842184,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,Corr,30,391.948302874612,-10.0270718769881,279.318099031595,0.13244453032808,0.283730780819447,0.00243506653580249,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,Corr,40,391.656272797385,-11.7872221718851,280.494189172038,0.09339208094168,0.157997017978903,0.00176525663253513,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,Corr,60,390.906355543007,-13.1646192933575,280.371751784755,0.0677700306667817,0.0596046684672978,0.00132798012048186,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,MinMax,10,420.463432489597,49.5769234789122,276.744362905665,0.286904485218773,1.45409130367547,0.0116273189753732,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,MinMax,20,413.202406962858,38.2975746411978,273.501660689902,0.234948774571345,0.895755893743645,0.0232083978060614,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,MinMax,30,409.791014708964,29.1771263713636,275.799324451948,0.185727187713321,0.444287524712182,0.0150024561610584,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,MinMax,40,407.38214453849,25.9693233096679,274.189387172695,0.149687455054094,0.285499099670853,0.0207522319045299,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,MinMax,60,409.528739110962,22.5975469810129,281.854352646295,0.0872954920852524,0.118593886812887,0.00662264357824732,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,Corr,10,414.207125027332,34.9371971371093,278.871474322938,0.25925246353144,0.729414930425134,0.00403049282052669,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,Corr,20,410.119007108767,25.7008667619127,279.931568861004,0.16483380833647,0.272210318660857,0.000244441066023794,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,Corr,30,411.010890786649,22.9431111337311,284.473091844951,0.117097780357,0.135699546513786,0.0159752831605125,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,Corr,40,408.044333065045,21.6600011099256,279.823086425548,0.0922522216689269,0.072184730948045,0.00063187831840318,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,Corr,60,408.587395975305,20.7958236435946,281.773389712398,0.050847584303554,0.0294073608303299,0.00633349025566993,NaN,10,12354,1.03323670338655
nlml_vecchia_fullMF,MinMax,10,427.198804954209,51.4995651348648,288.292466178936,0.369641033282335,6.7200036709954,0.029615862965098,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,MinMax,20,420.014107043481,35.0669519395253,290.35568355282,0.312466878988124,4.25668511947262,0.0369844958158018,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,MinMax,30,407.308261089959,21.0620696114361,278.948873973866,0.24178757713025,2.15729374205858,0.0037541063543432,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,MinMax,40,405.763611847175,16.3674648903637,280.55418020937,0.184054563210562,1.4535525437467,0.0019791297128298,NaN,11,12355,1.00963847629216
