Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
Corr,10,430.799183177648,47.0777624663997,299.91502529428,0.431468638357547,1.3303787046525,0.0711251238136479,1.27427539475126,10,12354,1.03323681618884
Corr,20,423.362640982107,20.7449347030731,311.374768666524,0.262999791788474,0.0268872505559679,0.112052779993671,1.17235928824696,10,12354,1.03323681618884
Corr,30,414.724328972538,20.512137624526,294.330941725934,0.212467528807608,0.0153636494770341,0.0511819675891068,1.32484900070963,10,12354,1.03323681618884
Corr,40,411.985588682765,19.4619739928165,289.903624778096,0.171615426902631,0.0366201075140266,0.0353701208526474,1.15776533095016,10,12354,1.03323681618884
Corr,60,408.643574215371,19.2755521107183,283.406017725408,0.0781263434988045,0.0458481073458577,0.0121643806534879,1.02011104914687,10,12354,1.03323681618884
MinMax,10,423.423325908624,38.1805870922151,294.060486130416,0.324692664355722,4.72340170912182,0.0502160660305414,1.1736086571736,11,12355,1.00963832084627
MinMax,20,416.69687425671,25.5017631263622,293.286406792441,0.303797494596389,2.82280226101608,0.0474514968501636,1.21058175798389,11,12355,1.00963832084627
MinMax,30,413.421914013244,14.4132160685967,297.825033363275,0.228290708248912,1.16059080709549,0.0636608781414966,1.25103448857383,11,12355,1.00963832084627
MinMax,40,409.264676880538,11.7319339424585,292.191841224,0.194093327331438,0.758657367300201,0.0435423339414461,1.2763939194068,11,12355,1.00963832084627
MinMax,60,402.715020942999,6.22896639236137,284.59549689902,0.108557983688315,0.0662564509550834,0.01641253164065,1.03287179369874,11,12355,1.00963832084627
Corr,10,413.61934758035,35.9672476930759,276.665868873007,0.283791873394144,4.39161449827292,0.0119075696424309,1.21395512050246,11,12355,1.00963832084627
Corr,20,406.795251799167,9.49030025478191,289.494624748935,0.179376644593069,0.422628744998347,0.0339094175542389,1.09659344121626,11,12355,1.00963832084627
Corr,30,404.676224953475,6.88522315155933,287.861648160774,0.149259151706562,0.0321187010074747,0.0280773580657092,1.07289925353888,11,12355,1.00963832084627
Corr,40,404.322904834942,5.91963167759218,288.120599397676,0.109477874748255,0.112626791749599,0.029002183950654,1.09298237873045,11,12355,1.00963832084627
Corr,60,401.282280147276,6.02503253918303,281.933949160753,0.0612107402755708,0.096826839016683,0.00690700360450478,1.02264254833626,11,12355,1.00963832084627
MinMax,10,409.325997059079,24.4056556571752,279.640759866367,0.276834390926928,9.62342225968531,0.00128300160154254,1.32813695853658,12,12356,1.01261832948717
MinMax,20,402.019098128152,14.0652803050864,275.367337356601,0.199956196453592,5.12240924729423,0.0165452248335272,1.3280849944689,12,12356,1.01261832948717
MinMax,30,404.131909867281,8.22979315450925,285.428447985437,0.173528835883869,2.58230768385506,0.0193873130861527,1.33093639039096,12,12356,1.01261832948717
MinMax,40,404.108019690456,6.29217674331994,287.318284042976,0.150820483787081,1.73889181326736,0.0261367275697667,1.27665879479808,12,12356,1.01261832948717
MinMax,60,401.94240496313,2.41836126733642,286.860870064307,0.095932984368342,0.0526770220913676,0.0245031062192168,1.0946726599779,12,12356,1.01261832948717
Corr,10,418.21942093766,40.1462228390956,281.687040441608,0.386325559628922,16.4750591970164,0.00602514330180747,1.18107523686545,12,12356,1.01261832948717
Corr,20,409.577939847136,5.0338565477698,299.516444551886,0.252453144832489,1.19116357506742,0.0697015864811181,1.24272179364607,12,12356,1.01261832948717
Corr,30,402.855034615026,2.78540045627415,288.319090179161,0.175336944247205,0.212443772254111,0.029711035194974,1.02387825253935,12,12356,1.01261832948717
Corr,40,401.48894362786,1.30701734657509,287.065291314529,0.135201141507792,0.431074609572371,0.0252331821120434,1.01557012469502,12,12356,1.01261832948717
Corr,60,398.22352706089,1.07546484607201,280.766010681091,0.0636329331091473,0.53186600082545,0.00273575130366054,1.04217370952474,12,12356,1.01261832948717
MinMax,10,418.470421242644,27.6617005357399,294.673563354931,0.358194872456977,16.0467125414523,0.0524055823660243,1.0733995628153,13,12357,0.899252282789933
MinMax,20,411.103065226668,15.4999715210192,292.1005803377,0.262561803653234,9.431282652928,0.043216357313602,1.32735515991125,13,12357,0.899252282789933
MinMax,30,407.458931965983,6.39337495023187,293.918910387118,0.190046551241505,4.47770647439292,0.0497103931979372,1.01827275975409,13,12357,0.899252282789933
MinMax,40,405.408271835712,3.28503209796202,292.925932978845,0.165102605946485,2.78690871169017,0.046164045314769,1.10167141496103,13,12357,0.899252282789933
